T,E
1.0725160833390053,-2.0
1.2144073285207369,-2.0
1.1288450352339177,-2.0
1.0225066104282639,-2.0
1.439612242543238,-1.9375
1.2935339313416039,-2.0
1.2754825203077662,-1.96875
1.3621827321909996,-1.96875
1.3262722460777636,-1.96875
1.0412198905136898,-2.0
1.215035865299864,-2.0
1.3831181434301645,-1.9375
1.4524585420318474,-1.9375
1.047485762119813,-2.0
1.3862193135065186,-1.90625
1.4670468838984954,-2.0
1.3684167864644565,-2.0
1.4138512095209546,-2.0
1.4274762355652213,-2.0
1.4902196119932805,-2.0
1.147047427403635,-2.0
1.3369865861315,-1.96875
1.294861950643404,-1.96875
1.4259491558014246,-2.0
1.0691984086307749,-1.96875
1.026098810097003,-2.0
1.112275161672668,-1.96875
1.12650144082102,-2.0
1.4449674410092541,-2.0
1.4600284620657507,-2.0
1.1554151595473028,-2.0
1.3610539284302738,-2.0
1.068051545227509,-2.0
1.0927273742535109,-2.0
1.3015530934988004,-2.0
1.3541686954029455,-1.953125
1.3498439331854666,-1.96875
1.2152643748438983,-2.0
1.3107162747034429,-1.96875
1.3490704764435915,-1.96875
1.2796847129060989,-2.0
1.0829249430297083,-2.0
1.4635501807928764,-1.90625
1.2056380719700768,-2.0
1.039024431390946,-2.0
1.4531627401830485,-2.0
1.3636358023786623,-2.0
1.057298702810121,-2.0
1.0584829369714335,-2.0
1.066446071759628,-1.96875
1.1209457624217332,-2.0
1.2622618853196992,-1.96875
1.150290175887477,-1.96875
1.4293419028034153,-2.0
1.0200884466502582,-2.0
1.2350729430628156,-2.0
1.1316933206169821,-2.0
1.121203678976954,-2.0
1.1059703967018852,-2.0
1.360343386055685,-1.96875
1.2237155806498305,-2.0
1.1729335926494846,-1.671875
1.320078937148118,-1.9375
1.3791774559324321,-2.0
1.4947249650383694,-1.859375
1.1015926351219545,-2.0
1.3232684328800997,-1.96875
1.4388168793504186,-1.96875
1.3738597540625557,-2.0
1.266531273121022,-1.96875
1.4057716347418234,-2.0
1.2909002186463283,-1.953125
1.4143241192256566,-2.0
1.2794681343254402,-2.0
1.0621691665777044,-2.0
1.1586840864136132,-2.0
1.299413034237766,-1.96875
1.1640934486212682,-2.0
1.2031786294695248,-2.0
1.0786295522912037,-1.96875
1.4964457071141142,-1.96875
1.1306096535111434,-1.96875
1.0932372066454183,-2.0
1.2554046601674176,-2.0
1.196388002514482,-1.96875
1.2135335886579848,-2.0
1.2723655434706633,-2.0
1.3340918660007426,-2.0
1.4378474428768546,-2.0
1.2848259092198164,-2.0
1.2864093754295935,-2.0
1.4838289315761148,-1.96875
1.0899980925591788,-2.0
1.1135197017773604,-2.0
1.0854582702637636,-2.0
1.1964921151032473,-1.96875
1.288720076356955,-2.0
1.2041604558282126,-2.0
1.0906413365982097,-2.0
1.4989099108382566,-1.96875
1.3086420504591523,-2.0
1.399754371102509,-1.921875
1.1411103820097857,-1.96875
1.1612486691461852,-2.0
1.4493330911838689,-1.90625
1.4646955541501159,-1.890625
1.4487370223556812,-1.9375
1.1184681269834955,-2.0
1.2663022352790432,-2.0
1.1755342010526055,-2.0
1.1725936782796653,-2.0
1.2323048650629334,-2.0
1.3991843670291435,-2.0
1.09616856739324,-2.0
1.3723938575580068,-2.0
1.3420247020476752,-1.96875
1.4051858228126841,-1.96875
1.4082804673687361,-1.96875
1.3108624585467707,-1.96875
1.0671023836061186,-2.0
1.3043468963757063,-1.96875
1.3358201809007675,-1.96875
1.3929252937086698,-2.0
1.2125063834008845,-2.0
1.4160967593969784,-2.0
1.3060614837797015,-1.921875
1.1772490037619094,-2.0
1.2666107978322616,-2.0
1.4407258655404869,-1.96875
1.1013206441792394,-2.0
1.2147506030893676,-2.0
1.2287955441000138,-1.9375
1.281783249957649,-2.0
1.2340550814533906,-2.0
1.090272419999923,-2.0
1.1264542569094955,-2.0
1.4999741616165054,-1.96875
1.359436758425724,-1.921875
1.3955287607073175,-2.0
1.1936207221066055,-2.0
1.1877064007379625,-1.96875
1.049853484946686,-1.96875
1.3810861345288439,-2.0
1.011300413168306,-1.96875
1.042198375795827,-2.0
1.0989424996441666,-2.0
1.1035473237350153,-2.0
1.3041369071353053,-2.0
1.1486304468077857,-2.0
1.409217559647641,-2.0
1.488321755564915,-1.9375
1.3528650578600465,-2.0
1.2500141356472296,-2.0
1.0929097196093827,-2.0
1.3184885250613763,-1.96875
1.007243809054051,-2.0
1.395170237749436,-1.9375
1.10392311916247,-2.0
1.1963229412356762,-1.96875
1.3580400523838196,-2.0
1.1020287186204563,-2.0
1.1104239945670744,-2.0
1.1142639049647256,-2.0
1.3613773951545671,-1.90625
1.1557435117778516,-1.96875
1.3843462553749681,-1.96875
1.1159402726058487,-1.96875
1.4357664921254092,-1.96875
1.3885856270678345,-1.96875
1.3591710540743578,-1.96875
1.0082626570363507,-1.96875
1.437248520027509,-2.0
1.3220141723621797,-1.953125
1.079323001183233,-2.0
1.0532918128245878,-2.0
1.113460980878357,-2.0
1.3653109430088377,-1.9375
1.0043776588375237,-2.0
1.2370972057174119,-2.0
1.0701563077773826,-2.0
1.2760399188357359,-2.0
1.1352897518454812,-2.0
1.4859935622807106,-1.96875
1.3066261376648494,-2.0
1.3755702795911766,-1.96875
1.4058646958713146,-2.0
1.3689204630388274,-1.96875
1.054817506116569,-2.0
1.3026846214288947,-2.0
1.0279204257003696,-2.0
1.1471792877799216,-2.0
1.219080724781853,-1.96875
1.4300840067134704,-1.96875
1.2052789260258965,-2.0
1.4455477472098077,-1.96875
1.118060870001177,-2.0
1.3273515457132874,-1.921875
1.3963276666875375,-2.0
1.402472957953941,-1.9375
1.088045969165252,-2.0
1.2686468347080486,-2.0
1.1777841631211425,-2.0
1.1377275003613971,-2.0
1.4055476315192637,-1.9375
1.3877718749189059,-2.0
1.1701104008095435,-2.0
1.3942827195846026,-1.96875
1.4637743792589855,-1.96875
1.4188322679605896,-1.875
1.3526420759403275,-1.96875
1.1311697420906996,-2.0
1.3975910887291765,-1.9375
1.3200469291320511,-1.96875
1.02154799997989,-2.0
1.1384401119504428,-2.0
1.0988906979288453,-2.0
1.0399510414136452,-2.0
1.2018839249995976,-2.0
1.253807042093253,-2.0
1.2683247918906568,-2.0
1.153288486119959,-1.96875
1.2948434349614169,-1.96875
1.3715069718191997,-2.0
1.1295984185838521,-2.0
1.1669922360763612,-1.96875
1.1307195185908494,-2.0
1.2749192834770704,-1.96875
1.3659389581553865,-1.96875
1.2379903098295812,-1.921875
1.2472362157375172,-2.0
1.4865464330682048,-1.96875
1.2750437508719106,-1.921875
1.2029516209060527,-1.96875
1.3525372291595674,-1.96875
1.2442383627247193,-1.609375
1.2035827007958562,-2.0
1.1466583252310478,-2.0
1.4498330932140704,-2.0
1.2692427063798015,-1.96875
1.137405427351306,-2.0
1.2919649448914745,-1.9375
1.1490899593841606,-1.96875
1.0742344011244007,-2.0
1.0032282000209443,-2.0
1.2518693705274049,-2.0
1.1523741926661666,-2.0
1.1240722503555443,-2.0
1.186264135987583,-2.0
1.2609651771172268,-2.0
1.1032940117814032,-2.0
1.1332018503842225,-1.96875
1.1068582035663952,-2.0
1.1910476006201218,-1.96875
1.4089458476497256,-1.96875
1.1477932412641603,-1.96875
1.4707223648213308,-1.96875
1.4098879344278314,-1.9375
1.397616495244598,-1.96875
1.2096609318466531,-1.640625
1.1395982594957619,-2.0
1.357904373592278,-1.96875
1.2684851954249203,-2.0
1.0874153725303504,-1.9375
1.1396370772909514,-2.0
1.1516586917112877,-2.0
1.0254966666075784,-1.71875
1.3484604584125437,-1.953125
1.3523806790488773,-2.0
1.1690106090764187,-2.0
1.0227140012858968,-2.0
1.4378148050609771,-1.890625
1.0253221600621052,-2.0
1.418884417202518,-1.96875
1.2332522062487938,-2.0
1.368473480902754,-2.0
1.3376532501980969,-2.0
1.1191781630075528,-1.96875
1.2007529291210735,-2.0
1.0301821902719301,-2.0
1.428054599707327,-1.96875
1.482606325551778,-2.0
1.298015053995036,-1.96875
1.4087221152042972,-1.96875
1.2241960558535743,-2.0
1.2345460793376366,-1.96875
1.1207877649064018,-2.0
1.4834875350751366,-1.953125
1.0807207145973465,-1.671875
1.0484096641553857,-2.0
1.2271552275589435,-1.9375
1.2823875220630345,-2.0
1.0693297623167313,-1.96875
1.1670878916001004,-2.0
1.2244878807677755,-2.0
1.2295690552816718,-1.96875
1.290508145906072,-1.96875
1.4287193097121906,-1.96875
1.324960908247029,-1.96875
1.0085612228776741,-2.0
1.4791398557125226,-1.96875
1.3327743542268033,-1.96875
1.0470984167104795,-2.0
1.485811425429337,-1.90625
1.137377928960962,-1.96875
1.0051606240815232,-2.0
1.1763771135313024,-2.0
1.3201705733625695,-2.0
1.4991436245567946,-1.96875
1.1422366114855005,-2.0
1.276798505778578,-1.9375
1.4640160075712745,-2.0
1.4794633198655636,-1.90625
1.139333269731227,-1.84375
1.3024695950172345,-2.0
1.405754926442203,-1.90625
1.3362192567436126,-1.9375
1.0606203744207747,-1.640625
1.4622014957876157,-1.953125
1.2867952458511889,-1.953125
1.093264024151937,-2.0
1.050519062574038,-2.0
1.3960869771597557,-1.96875
1.2242900712871423,-1.96875
1.4096668543082325,-2.0
1.2068049317544138,-2.0
1.2752970882626542,-1.828125
1.1172546772062106,-2.0
1.274764583440767,-1.96875
1.2305935165810395,-2.0
1.4038270610689385,-1.953125
1.0399804656033493,-2.0
1.303777054496618,-1.9375
1.3861592788354131,-2.0
1.272027715291176,-1.96875
1.1557102478684682,-2.0
1.353968585256196,-2.0
1.3509865662882423,-1.96875
1.19119798092591,-1.96875
1.125842834358444,-1.96875
1.1768638291843514,-2.0
1.4448405792591912,-1.96875
1.4677417761174247,-1.96875
1.108602484374227,-1.96875
1.2647199911167881,-1.96875
1.0610826504774373,-2.0
1.1454145245348724,-2.0
1.2969816473910294,-1.96875
1.3153363197748333,-1.9375
1.0216904744045592,-2.0
1.2113487618589376,-2.0
1.2338829423292936,-1.96875
1.3141415291312506,-1.90625
1.4346203709576333,-2.0
1.3424426431674608,-1.96875
1.1271415107443197,-2.0
1.2475013219433746,-2.0
1.0681014673284277,-2.0
1.104471596051964,-1.953125
1.4368063240459512,-1.96875
1.3910051234964882,-2.0
1.3480231190439071,-1.96875
1.4725933347486868,-1.96875
1.088661163937266,-2.0
1.2856608421087874,-1.96875
1.3449654555027322,-1.96875
1.0696759733047168,-2.0
1.249611934756366,-2.0
1.021616459431424,-2.0
1.0181392269893244,-2.0
1.204311674280875,-1.65625
1.1212911424177994,-1.96875
1.0150296667241339,-2.0
1.3628635557001276,-1.875
1.1417220528758518,-2.0
1.026980883237463,-2.0
1.426518035125008,-2.0
1.0855590915172466,-2.0
1.1716758653424764,-2.0
1.4892320793660414,-1.96875
1.2416380514282535,-2.0
1.0302694538903485,-2.0
1.2221965870806197,-2.0
1.2334277438752923,-2.0
1.3027568375358722,-1.9375
1.240505701984588,-1.96875
1.2138383672505872,-2.0
